IngredientID,IngredientName,Category,VegNonVeg,Calories_100g,Protein_g,Carbs_g,Fat_g,Rasa,Virya,Guna,DoshaEffect
ING205,Neem Leaves,Herb,Veg,45,2.5,8.0,0.2,"Bitter",Cooling,"Light, Dry","V+ P- K-"
ING206,Celery,Vegetable,Veg,16,0.7,3.0,0.2,"Pungent, Bitter",Cooling,"Light, Dry","V+ P- K-"
ING207,Leek,Vegetable,Veg,61,1.5,14.0,0.3,"Pungent, Sweet",Heating,"Heavy, Moist","V- P+ K+"
ING208,Spring Onion,Vegetable,Veg,32,1.8,7.3,0.2,"Pungent, Sweet",Heating,"Light, Moist","V- P+ K0"
ING209,Red Cabbage,Vegetable,Veg,31,1.4,7.4,0.2,"Astringent, Sweet",Cooling,"Light, Dry","V+ P- K-"
ING210,Bok Choy,Vegetable,Veg,13,1.5,2.2,0.2,"Sweet, Pungent",Cooling,"Light, Moist","V+ P- K-"
ING211,Turnip,Vegetable,Veg,28,0.9,6.4,0.1,"Pungent, Sweet",Heating,"Light, Dry","V0 P0 K-"
ING212,Lotus Stem (Kamal Kakdi),Vegetable,Veg,74,2.6,17.0,0.1,"Sweet, Astringent",Cooling,"Heavy, Dry","V+ P- K+"
ING213,Bamboo Shoot,Vegetable,Veg,20,2.6,3.0,0.3,"Sweet, Astringent",Heating,"Light, Dry","V+ P0 K-"
ING214,Artichoke,Vegetable,Veg,47,3.3,11.0,0.2,"Bitter, Sweet",Cooling,"Heavy, Dry","V+ P- K-"
ING215,Asparagus,Vegetable,Veg,20,2.2,3.9,0.1,"Bitter, Sweet",Cooling,"Light, Dry","V+ P- K-"
ING216,Avocado,Fruit,Veg,160,2.0,9.0,15.0,"Sweet",Cooling,"Heavy, Oily","V- P- K+"
ING217,Olives,Fruit,Veg,115,0.8,6.0,11.0,"Salty, Sour, Pungent, Bitter",Heating,"Heavy, Oily","V- P+ K0"
ING218,Capers,Fruit,Veg,23,2.4,5.0,0.9,"Pungent, Salty",Heating,"Light, Dry","V- P+ K-"
ING219,Cranberry,Fruit,Veg,46,0.4,12.0,0.1,"Sour, Astringent",Heating,"Light, Dry","V- P+ K0"
ING220,Blueberry,Fruit,Veg,57,0.7,14.0,0.3,"Sweet, Sour",Cooling,"Light, Moist","V- P- K0"
ING221,Raspberry,Fruit,Veg,52,1.2,12.0,0.7,"Sweet, Sour",Cooling,"Light, Dry","V+ P- K0"
ING222,Strawberry,Fruit,Veg,32,0.7,8.0,0.3,"Sweet, Sour",Cooling,"Light, Moist","V- P- K0"
ING223,Kiwi,Fruit,Veg,61,1.1,15.0,0.5,"Sour, Sweet",Cooling,"Light, Moist","V+ P- K0"
ING224,Muskmelon,Fruit,Veg,34,0.8,8.0,0.2,"Sweet",Cooling,"Heavy, Moist","V+ P- K+"
ING225,Apricot,Fruit,Veg,48,1.4,11.0,0.4,"Sweet, Sour",Heating,"Heavy, Moist","V- P0 K0"
ING226,Coconut Milk,Dairy/Fat,Veg,230,2.3,6.0,24.0,"Sweet",Cooling,"Heavy, Oily","V- P- K+"
ING227,Coconut Sugar,Sweetener,Veg,386,0.0,100.0,0.0,"Sweet",Cooling,"Heavy, Dry","V- P- K0"
ING228,Stevia,Sweetener,Veg,0,0.0,0.0,0.0,"Sweet",Cooling,"Light, Dry","V- P- K-"
ING229,Maple Syrup,Sweetener,Veg,260,0.0,67.0,0.1,"Sweet",Heating,"Heavy, Moist","V- P0 K+"
ING230,Agave Nectar,Sweetener,Veg,310,0.1,76.0,0.5,"Sweet",Cooling,"Heavy, Moist","V- P- K+"
ING231,Cashew Milk,Dairy/Fat,Veg,25,0.5,1.0,2.0,"Sweet",Heating,"Heavy, Oily","V- P0 K+"
ING232,Almond Milk,Dairy/Fat,Veg,15,0.5,0.6,1.2,"Sweet",Heating,"Light, Moist","V- P0 K0"
ING233,Soy Milk,Dairy/Fat,Veg,54,3.3,6.0,1.8,"Sweet, Astringent",Cooling,"Heavy, Moist","V- P- K+"
ING234,Rice Milk,Dairy/Fat,Veg,47,0.3,9.0,1.0,"Sweet",Cooling,"Heavy, Moist","V- P- K+"
ING235,Oat Milk,Dairy/Fat,Veg,45,0.8,7.0,1.5,"Sweet",Heating,"Heavy, Moist","V- P0 K+"
ING236,Pork,Meat,Non-Veg,242,27.0,0.0,14.0,"Sweet",Heating,"Heavy, Oily","V- P+ K+"
ING237,Beef,Meat,Non-Veg,250,26.0,0.0,15.0,"Sweet",Heating,"Heavy, Oily","V- P+ K+"
ING238,Crab,Seafood,Non-Veg,83,18.0,0.0,1.0,"Sweet, Salty",Heating,"Heavy, Oily","V- P+ K+"
ING239,Lobster,Seafood,Non-Veg,77,16.0,0.0,1.0,"Sweet, Salty",Heating,"Heavy, Oily","V- P+ K+"
ING240,Clams,Seafood,Non-Veg,74,12.0,3.0,1.0,"Sweet, Salty",Cooling,"Heavy, Moist","V- P- K+"
ING241,Oysters,Seafood,Non-Veg,68,7.0,4.0,2.5,"Sweet, Salty",Cooling,"Heavy, Moist","V- P- K+"
ING242,Scallops,Seafood,Non-Veg,69,12.0,3.0,1.0,"Sweet, Salty",Cooling,"Heavy, Moist","V- P- K+"
ING243,Mussels,Seafood,Non-Veg,86,12.0,4.0,2.2,"Sweet, Salty",Heating,"Heavy, Moist","V- P+ K+"
ING244,Salmon,Fish,Non-Veg,208,20.0,0.0,13.0,"Sweet",Heating,"Heavy, Oily","V- P+ K+"
ING245,Tuna,Fish,Non-Veg,132,28.0,0.0,1.0,"Sweet",Heating,"Light, Dry","V+ P+ K-"
ING246,Sardines,Fish,Non-Veg,208,25.0,0.0,11.0,"Sweet, Salty",Heating,"Heavy, Oily","V- P+ K+"
ING247,Cod,Fish,Non-Veg,82,18.0,0.0,1.0,"Sweet",Cooling,"Light, Moist","V- P- K-"
ING248,Mackerel,Fish,Non-Veg,262,18.0,0.0,20.0,"Sweet",Heating,"Heavy, Oily","V- P+ K+"
ING249,Duck,Poultry,Non-Veg,337,19.0,0.0,28.0,"Sweet",Heating,"Heavy, Oily","V- P+ K+"
ING250,Turkey,Poultry,Non-Veg,189,29.0,0.0,7.0,"Sweet",Heating,"Light, Dry","V- P0 K0"
ING251,Kodo Millet,Grain,Veg,353,9.9,65.9,3.6,"Sweet, Astringent",Heating,"Light, Dry","V+ P- K-"
ING252,Foxtail Millet,Grain,Veg,351,12.3,60.9,4.3,"Sweet",Heating,"Light, Dry","V+ P0 K-"
ING253,Little Millet,Grain,Veg,341,9.8,67.0,5.2,"Sweet",Heating,"Light, Dry","V+ P- K-"
ING254,Barnyard Millet,Grain,Veg,300,6.2,65.5,2.2,"Sweet",Cooling,"Light, Dry","V+ P- K-"
ING255,Proso Millet,Grain,Veg,358,12.5,68.0,3.1,"Sweet, Astringent",Heating,"Light, Dry","V+ P0 K-"
ING256,Moong Dal (Split Green),Legume,Veg,344,24.0,60.0,1.3,"Sweet, Astringent",Cooling,"Light, Dry","V- P- K-"
ING257,Urad Dal (Split White),Legume,Veg,341,25.0,59.0,1.6,"Sweet",Heating,"Heavy, Oily","V- P+ K+"
ING258,French Beans,Vegetable,Veg,31,1.8,7.0,0.1,"Sweet, Astringent",Cooling,"Light, Dry","V+ P- K0"
ING259,Kohlrabi (Ganth Gobhi),Vegetable,Veg,27,1.7,6.2,0.1,"Pungent, Sweet",Cooling,"Light, Dry","V+ P- K-"
ING260,Green Papaya,Vegetable,Veg,32,0.6,7.2,0.1,"Sweet, Pungent",Heating,"Light, Dry","V- P- K-"
ING261,Red Amaranth Leaves (Lal Chaulai),Herb,Veg,28,3.0,5.0,0.3,"Astringent",Cooling,"Light, Dry","V+ P- K-"
ING262,Chayote Squash (Chow Chow),Vegetable,Veg,19,0.8,4.5,0.1,"Sweet",Cooling,"Light, Moist","V- P- K-"
ING263,White Pumpkin,Vegetable,Veg,13,0.4,3.0,0.2,"Sweet",Cooling,"Heavy, Moist","V- P- K-"
ING264,Fava Beans (Bakla),Legume,Veg,110,8.0,20.0,0.4,"Sweet, Astringent",Cooling,"Heavy, Dry","V+ P- K+"
ING265,Goat Meat,Meat,Non-Veg,143,27.0,0.0,3.0,"Sweet",Heating,"Light, Dry","V- P0 K0"
ING266,Quail Meat,Poultry,Non-Veg,134,22.0,0.0,4.5,"Sweet",Heating,"Light, Dry","V- P0 K0"
ING267,Rohu Fish,Fish,Non-Veg,97,17.0,0.0,3.0,"Sweet",Heating,"Heavy, Oily","V- P+ K+"
ING268,Catla Fish,Fish,Non-Veg,105,19.0,0.0,3.0,"Sweet",Heating,"Heavy, Oily","V- P+ K+"
ING269,Pomfret Fish,Fish,Non-Veg,103,17.0,0.0,4.0,"Sweet",Heating,"Heavy, Oily","V- P+ K+"
ING270,King Fish (Surmai),Fish,Non-Veg,134,20.0,0.0,6.0,"Sweet",Heating,"Heavy, Oily","V- P+ K+"
ING271,Bombay Duck (Bombil),Fish,Non-Veg,78,15.0,0.0,2.0,"Salty, Sweet",Heating,"Light, Oily","V- P+ K+"
ING272,Jamun (Indian Blackberry),Fruit,Veg,60,0.7,15.6,0.2,"Astringent, Sweet, Sour",Cooling,"Light, Dry","V+ P- K-"
ING273,Phalsa (Indian Sherbet Berry),Fruit,Veg,72,1.3,14.7,0.9,"Sour, Sweet",Cooling,"Light, Moist","V- P- K0"
ING274,Mulberry (Shahtoot),Fruit,Veg,43,1.4,9.8,0.4,"Sweet, Sour",Cooling,"Light, Moist","V- P- K0"
ING275,Tamarillo (Tree Tomato),Fruit,Veg,31,2.0,3.8,0.3,"Sour, Sweet",Heating,"Light, Dry","V- P+ K0"
ING276,Caraway Seeds (Shahi Jeera),Spice,Veg,333,20.0,50.0,15.0,"Pungent",Heating,"Light, Dry","V- P0 K-"
ING277,Stone Flower (Dagad Phool),Spice,Veg,290,5.0,70.0,2.0,"Astringent, Bitter",Cooling,"Light, Dry","V- P0 K-"
ING278,Indian Bay Leaf (Tamalpatra),Spice,Veg,313,7.6,75.0,8.4,"Pungent, Sweet",Heating,"Light, Dry","V- P+ K-"
ING279,Liquorice Root (Jethimadh),Herb,Veg,375,0.0,94.0,0.0,"Sweet",Cooling,"Heavy, Moist","V- P- K-"
ING280,Gotu Kola,Herb,Veg,37,1.6,7.0,0.2,"Bitter, Astringent",Cooling,"Light, Dry","V- P- K-"
ING281,Shatavari,Herb,Veg,270,6.0,50.0,1.0,"Sweet, Bitter",Cooling,"Heavy, Oily","V- P- K-"
ING282,Guduchi (Giloy),Herb,Veg,40,2.0,7.0,0.5,"Bitter, Astringent, Pungent",Heating,"Light, Dry","V- P- K-"
ING283,Manjistha,Herb,Veg,280,3.0,65.0,1.0,"Bitter, Sweet, Astringent",Heating,"Heavy, Dry","V- P- K-"
ING284,Arjuna Bark,Herb,Veg,260,2.0,60.0,0.5,"Astringent",Cooling,"Light, Dry","V- P- K-"
ING285,Guggul,Resin,Veg,300,1.0,75.0,0.5,"Pungent, Bitter, Astringent, Sweet",Heating,"Light, Dry","V+ P- K-"
ING286,Shilajit,Resin,Veg,15,0.5,3.0,0.1,"Pungent, Bitter, Salty, Astringent",Heating,"Heavy, Dry","V- P0 K-"
ING287,Rice Bran Oil,Oil/Fat,Veg,884,0.0,0.0,100.0,"Sweet",Heating,"Light, Oily","V- P+ K0"
ING288,Gingelly Oil (Sesame),Oil/Fat,Veg,884,0.0,0.0,100.0,"Sweet, Pungent, Bitter, Astringent",Heating,"Heavy, Oily","V- P+ K0"
ING289,Olive Oil,Oil/Fat,Veg,884,0.0,0.0,100.0,"Sweet",Cooling,"Heavy, Oily","V- P- K0"
ING290,Avocado Oil,Oil/Fat,Veg,884,0.0,0.0,100.0,"Sweet",Cooling,"Heavy, Oily","V- P- K0"
ING291,Palm Oil,Oil/Fat,Veg,884,0.0,0.0,100.0,"Sweet",Heating,"Heavy, Oily","V- P+ K+"
ING292,Safflower Oil,Oil/Fat,Veg,884,0.0,0.0,100.0,"Sweet",Heating,"Light, Oily","V- P+ K0"
ING293,Canola Oil,Oil/Fat,Veg,884,0.0,0.0,100.0,"Sweet",Heating,"Light, Oily","V- P+ K0"
ING294,Linseed Oil,Oil/Fat,Veg,884,0.0,0.0,100.0,"Sweet",Heating,"Heavy, Oily","V- P0 K+"
ING295,Buffalo Milk,Dairy,Veg,97,3.8,5.2,6.9,"Sweet",Cooling,"Heavy, Oily","V- P- K+"
ING296,Goat Milk,Dairy,Veg,69,3.6,4.5,4.1,"Sweet, Astringent",Cooling,"Light, Dry","V- P- K-"
ING297,Camel Milk,Dairy,Veg,50,3.0,4.4,2.5,"Salty, Sweet",Cooling,"Light, Dry","V- P- K-"
ING298,Buffalo Ghee,Dairy/Fat,Veg,900,0.0,0.0,99.5,"Sweet",Cooling,"Very Heavy, Oily","V- P- K+"
ING299,Table Salt,Salt,Veg,0,0.0,0.0,0.0,"Salty",Heating,"Heavy, Oily","V- P+ K+"
ING300,Sea Salt,Salt,Veg,0,0.0,0.0,0.0,"Salty",Heating,"Heavy, Oily","V- P+ K+"
ING301,Mustard Seeds (Yellow),Spice,Veg,508,26.0,28.0,36.0,"Pungent",Heating,"Sharp, Oily","V0 P+ K-"
ING302,Sesame Seeds (Black),Seed,Veg,573,18.0,23.0,50.0,"Sweet, Pungent, Bitter, Astringent",Heating,"Heavy, Oily","V- P+ K0"
ING303,Coconut (Dry),Fruit,Veg,660,7.0,24.0,65.0,"Sweet",Cooling,"Heavy, Oily","V- P- K+"
ING304,Coriander Seeds,Spice,Veg,298,12.4,55.0,17.8,"Pungent, Bitter, Sweet",Cooling,"Light, Oily","V- P- K-"
ING305,Fenugreek Leaves (Dry),Herb,Veg,325,23.0,58.0,6.0,"Bitter",Heating,"Light, Dry","V- P0 K-"
ING306,Banana (Raw),Vegetable,Veg,89,1.1,23.0,0.3,"Astringent, Sweet",Cooling,"Heavy, Dry","V+ P- K+"
ING307,Jackfruit (Raw),Vegetable,Veg,95,1.7,23.5,0.6,"Astringent",Cooling,"Heavy, Dry","V+ P0 K+"
ING308,Indian Squash (Tinda),Vegetable,Veg,21,1.4,3.6,0.2,"Sweet",Cooling,"Light, Moist","V- P- K-"
ING309,Spine Gourd (Kantola),Vegetable,Veg,20,3.0,3.0,0.1,"Bitter",Heating,"Light, Dry","V0 P0 K-"
ING310,Amaranth Flour (Rajgira Atta),Flour,Veg,371,14.0,65.0,7.0,"Sweet, Astringent",Cooling,"Light, Dry","V+ P- K-"
ING311,Water Chestnut Flour (Singhara Atta),Flour,Veg,350,6.0,85.0,1.0,"Sweet, Astringent",Cooling,"Heavy, Dry","V+ P- K+"
ING312,Buckwheat Flour (Kuttu Atta),Flour,Veg,335,12.0,70.0,3.0,"Sweet, Astringent",Heating,"Light, Dry","V- P0 K-"
ING313,Sorghum Puffs (Jowar Dhani),Grain,Veg,360,10.0,78.0,2.0,"Sweet",Cooling,"Light, Dry","V+ P- K-"
ING314,Barley Flour,Flour,Veg,345,11.0,75.0,2.0,"Sweet, Astringent",Cooling,"Light, Dry","V+ P- K-"
ING315,Wheat Bran,Grain,Veg,216,16.0,65.0,4.0,"Sweet",Heating,"Light, Dry","V+ P0 K-"
ING316,Ragi Puffs,Grain,Veg,360,8.0,80.0,1.5,"Sweet",Heating,"Light, Dry","V+ P0 K-"
ING317,Brown Sugar,Sweetener,Veg,380,0.1,98.0,0.0,"Sweet",Heating,"Heavy, Moist","V- P+ K0"
ING318,Palm Sugar,Sweetener,Veg,359,0.0,90.0,0.0,"Sweet",Cooling,"Heavy, Dry","V- P- K0"
ING319,Coconut Aminos,Condiment,Veg,50,0.0,12.5,0.0,"Salty, Sweet",Heating,"Light, Moist","V- P0 K0"
ING320,Tamari (Soy Sauce),Condiment,Veg,60,10.0,5.0,0.1,"Salty",Heating,"Heavy, Oily","V- P+ K+"
ING321,Miso Paste,Condiment,Veg,199,12.0,26.0,6.0,"Salty, Sweet",Heating,"Heavy, Oily","V- P+ K+"
ING322,Wasabi,Spice,Veg,109,5.0,24.0,0.6,"Pungent",Heating,"Light, Sharp","V+ P+ K-"
ING323,Horseradish,Spice,Veg,48,1.2,11.0,0.7,"Pungent",Heating,"Light, Sharp","V- P+ K-"
ING324,Kimchi,Condiment,Veg,15,1.1,2.4,0.5,"Sour, Pungent, Salty",Heating,"Light, Dry","V- P+ K+"
ING325,Sauerkraut,Condiment,Veg,19,0.9,4.3,0.1,"Sour, Salty",Heating,"Light, Dry","V- P+ K0"
ING326,Kombucha,Beverage,Veg,29,0.0,7.0,0.0,"Sour, Sweet",Heating,"Light, Dry","V- P+ K0"
ING327,Kefir,Dairy,Veg,64,3.5,5.0,3.5,"Sour, Sweet",Heating,"Heavy, Oily","V- P+ K+"
ING328,Ghee (A2 Cow),Dairy/Fat,Veg,900,0.0,0.0,99.5,"Sweet",Cooling,"Light, Oily","V- P- K-"
ING329,Cold Pressed Coconut Oil,Oil/Fat,Veg,862,0.0,0.0,100.0,"Sweet",Cooling,"Heavy, Oily","V- P- K+"
ING330,Cold Pressed Mustard Oil,Oil/Fat,Veg,884,0.0,0.0,100.0,"Pungent",Heating,"Sharp, Oily","V- P+ K-"
ING331,Cold Pressed Groundnut Oil,Oil/Fat,Veg,884,0.0,0.0,100.0,"Sweet",Heating,"Heavy, Oily","V- P+ K0"
ING332,Cold Pressed Sesame Oil,Oil/Fat,Veg,884,0.0,0.0,100.0,"Sweet, Pungent, Bitter, Astringent",Heating,"Heavy, Oily","V- P+ K0"
ING333,Wood Pressed Coconut Oil,Oil/Fat,Veg,862,0.0,0.0,100.0,"Sweet",Cooling,"Heavy, Oily","V- P- K+"
ING334,Wood Pressed Mustard Oil,Oil/Fat,Veg,884,0.0,0.0,100.0,"Pungent",Heating,"Sharp, Oily","V- P+ K-"
ING335,Wood Pressed Groundnut Oil,Oil/Fat,Veg,884,0.0,0.0,100.0,"Sweet",Heating,"Heavy, Oily","V- P+ K0"
ING336,Wood Pressed Sesame Oil,Oil/Fat,Veg,884,0.0,0.0,100.0,"Sweet, Pungent, Bitter, Astringent",Heating,"Heavy, Oily","V- P+ K0"
ING337,Goji Berry,Fruit,Veg,349,14.3,77.0,0.4,"Sweet",Neutral,"Light, Moist","V- P- K0"
ING338,Acai Berry,Fruit,Veg,70,1.0,4.0,6.0,"Sour, Sweet",Cooling,"Light, Oily","V- P- K0"
ING339,Dragon Fruit,Fruit,Veg,60,1.2,13.0,0.0,"Sweet",Cooling,"Light, Moist","V- P- K0"
ING340,Passion Fruit,Fruit,Veg,97,2.2,23.0,0.7,"Sour, Sweet",Heating,"Light, Moist","V- P+ K0"
ING341,Rambutan,Fruit,Veg,82,0.7,21.0,0.2,"Sweet, Sour",Cooling,"Heavy, Moist","V- P- K+"
ING342,Mangosteen,Fruit,Veg,73,0.4,18.0,0.6,"Sweet, Sour",Cooling,"Heavy, Moist","V- P- K-"
ING343,Durian,Fruit,Veg,147,1.5,27.0,5.0,"Sweet, Pungent",Heating,"Heavy, Oily","V- P+ K+"
ING344,Persimmon,Fruit,Veg,70,0.6,19.0,0.2,"Sweet, Astringent",Cooling,"Heavy, Moist","V+ P- K+"
ING345,Cantaloupe,Fruit,Veg,34,0.8,8.0,0.2,"Sweet",Cooling,"Heavy, Moist","V+ P- K+"
ING346,Honeydew Melon,Fruit,Veg,36,0.5,9.0,0.1,"Sweet",Cooling,"Heavy, Moist","V+ P- K+"
ING347,Elderberry,Fruit,Veg,73,0.7,18.0,0.5,"Sour, Sweet",Heating,"Light, Dry","V- P- K-"
ING348,Blackcurrant,Fruit,Veg,63,1.4,15.0,0.4,"Sour, Sweet",Heating,"Light, Moist","V- P+ K0"
ING349,Redcurrant,Fruit,Veg,56,1.4,14.0,0.2,"Sour, Sweet",Heating,"Light, Moist","V- P+ K0"
ING350,White Currant,Fruit,Veg,56,1.4,14.0,0.2,"Sour, Sweet",Cooling,"Light, Moist","V- P- K0"
ING351,Karela (White),Vegetable,Veg,17,1.0,3.7,0.2,"Bitter, Pungent",Cooling,"Light, Dry","V+ P- K-"
ING352,Round Gourd (Dilpasand),Vegetable,Veg,21,1.4,3.6,0.2,"Sweet",Cooling,"Light, Moist","V- P- K-"
ING353,Red Radish,Vegetable,Veg,16,0.7,3.4,0.1,"Pungent",Heating,"Light, Dry","V0 P+ K-"
ING354,White Radish (Daikon),Vegetable,Veg,18,0.6,4.1,0.1,"Pungent",Heating,"Light, Dry","V0 P0 K-"
ING355,Red Carrot,Vegetable,Veg,41,0.9,10.0,0.2,"Sweet, Bitter",Heating,"Light, Dry","V- P- K-"
ING356,Black Carrot,Vegetable,Veg,35,1.0,8.0,0.2,"Sweet, Astringent",Heating,"Light, Dry","V- P- K-"
ING357,Purple Cabbage,Vegetable,Veg,31,1.4,7.4,0.2,"Astringent, Sweet",Cooling,"Light, Dry","V+ P- K-"
ING358,Savoy Cabbage,Vegetable,Veg,27,2.0,6.1,0.1,"Astringent, Sweet",Cooling,"Light, Dry","V+ P- K-"
ING359,Napa Cabbage,Vegetable,Veg,16,1.2,3.2,0.2,"Sweet, Pungent",Cooling,"Light, Moist","V+ P- K-"
ING360,Red Onion,Vegetable,Veg,40,1.1,9.3,0.1,"Pungent, Sweet",Heating,"Heavy, Oily","V- P+ K0"
ING361,White Onion,Vegetable,Veg,42,1.2,9.8,0.1,"Pungent, Sweet",Heating,"Heavy, Oily","V- P+ K0"
ING362,Shallots,Vegetable,Veg,72,2.5,17.0,0.1,"Pungent, Sweet",Heating,"Heavy, Oily","V- P+ K0"
ING363,Scallions,Vegetable,Veg,32,1.8,7.3,0.2,"Pungent, Sweet",Heating,"Light, Moist","V- P+ K0"
ING364,Chives,Herb,Veg,30,3.3,4.4,0.7,"Pungent",Heating,"Light, Dry","V- P+ K-"
ING365,Parsley,Herb,Veg,36,3.0,6.3,0.8,"Pungent, Bitter",Heating,"Light, Dry","V- P0 K-"
ING366,Rosemary,Herb,Veg,131,3.3,21.0,5.9,"Pungent, Bitter",Heating,"Light, Dry","V- P+ K-"
ING367,Thyme,Herb,Veg,101,5.6,24.0,1.7,"Pungent",Heating,"Light, Dry","V- P0 K-"
ING368,Oregano,Herb,Veg,265,9.0,69.0,4.3,"Pungent, Bitter",Heating,"Light, Dry","V- P+ K-"
ING369,Basil,Herb,Veg,23,3.2,2.7,0.6,"Pungent, Sweet",Heating,"Light, Dry","V- P0 K-"
ING370,Sage,Herb,Veg,315,11.0,61.0,13.0,"Pungent, Astringent",Heating,"Light, Dry","V- P0 K-"
ING371,Marjoram,Herb,Veg,271,13.0,61.0,7.0,"Pungent, Sweet",Heating,"Light, Dry","V- P0 K-"
ING372,Tarragon,Herb,Veg,295,23.0,50.0,7.0,"Pungent, Bitter, Sweet",Heating,"Light, Dry","V- P+ K-"
ING373,Pink Salt (Himalayan),Salt,Veg,0,0.0,0.0,0.0,"Salty",Cooling,"Light, Dry","V- P- K-"
ING374,Kala Jeera (Black Caraway),Spice,Veg,333,20.0,50.0,15.0,"Pungent",Heating,"Light, Dry","V- P0 K-"
ING375,Green Peppercorns,Spice,Veg,251,10.0,64.0,3.3,"Pungent",Heating,"Light, Dry","V0 P+ K-"
ING376,Pink Peppercorns,Spice,Veg,255,10.0,65.0,4.0,"Pungent, Sweet",Heating,"Light, Dry","V0 P+ K-"
ING377,Cubeb Pepper,Spice,Veg,310,11.0,70.0,3.0,"Pungent, Bitter",Heating,"Light, Dry","V- P+ K-"
ING378,Grains of Paradise,Spice,Veg,270,10.0,60.0,5.0,"Pungent, Sweet",Heating,"Light, Dry","V- P0 K-"
ING379,Ajmud (Radhuni),Spice,Veg,394,16.0,43.0,25.0,"Pungent, Bitter",Heating,"Light, Dry","V- P+ K-"
ING380,Kalpasi (Black Stone Flower),Spice,Veg,290,5.0,70.0,2.0,"Astringent, Bitter",Cooling,"Light, Dry","V- P0 K-"
ING381,Maratti Mokku (Mugga),Spice,Veg,300,10.0,65.0,5.0,"Pungent, Sweet",Heating,"Light, Dry","V- P0 K-"
ING382,Anise Seeds,Spice,Veg,337,18.0,50.0,16.0,"Sweet, Pungent",Heating,"Light, Dry","V- P0 K-"
ING383,Dill Seeds,Spice,Veg,305,16.0,55.0,15.0,"Pungent",Heating,"Light, Dry","V- P0 K-"
ING384,Sumac,Spice,Veg,240,8.0,45.0,4.0,"Sour",Cooling,"Light, Dry","V- P- K0"
ING385,Za'atar,Spice,Veg,270,9.0,55.0,5.0,"Pungent, Sour, Salty",Heating,"Light, Dry","V- P+ K-"
ING386,Haritaki,Herb,Veg,280,3.0,70.0,0.5,"Astringent, Bitter, Pungent, Sour, Sweet",Heating,"Light, Dry","V- P- K-"
ING387,Bibhitaki,Herb,Veg,270,3.0,65.0,0.5,"Astringent",Heating,"Light, Dry","V- P0 K-"
ING388,Gokshura,Herb,Veg,260,5.0,60.0,1.0,"Sweet",Cooling,"Heavy, Oily","V- P- K-"
ING389,Punarnava,Herb,Veg,30,2.0,5.0,0.2,"Bitter, Astringent",Heating,"Light, Dry","V- P- K-"
ING390,Bhringraj,Herb,Veg,40,2.0,7.0,0.5,"Pungent, Bitter",Heating,"Light, Dry","V- P- K-"
ING391,Vidanga,Herb,Veg,300,10.0,60.0,5.0,"Pungent, Astringent",Heating,"Light, Dry","V- P0 K-"
ING392,Chitrak,Herb,Veg,290,5.0,65.0,2.0,"Pungent",Heating,"Light, Dry","V- P+ K-"
ING393,Kutki,Herb,Veg,280,3.0,65.0,1.0,"Bitter, Pungent",Cooling,"Light, Dry","V+ P- K-"
ING394,Vacha,Herb,Veg,270,5.0,60.0,2.0,"Pungent, Bitter",Heating,"Light, Dry","V- P0 K-"
ING395,Jatamansi,Herb,Veg,260,3.0,60.0,1.0,"Bitter, Astringent",Cooling,"Light, Oily","V- P- K-"
ING396,Tagara,Herb,Veg,250,3.0,55.0,1.0,"Pungent, Bitter, Astringent, Sweet",Heating,"Light, Oily","V- P0 K-"
ING397,Shankhpushpi,Herb,Veg,240,2.0,55.0,0.5,"Bitter, Astringent",Cooling,"Light, Oily","V- P- K-"
ING398,Sarpgandha,Herb,Veg,230,2.0,50.0,0.5,"Bitter",Heating,"Light, Dry","V- P0 K-"
ING399,Pashanbhed,Herb,Veg,220,2.0,50.0,0.5,"Astringent, Bitter",Cooling,"Light, Dry","V- P- K-"
ING400,Musta (Nagarmotha),Herb,Veg,210,2.0,45.0,0.5,"Pungent, Bitter, Astringent",Cooling,"Light, Dry","V- P- K-"
ING401,Hemp Seeds,Seed,Veg,553,31.6,8.7,48.8,"Sweet",Heating,"Heavy, Oily","V- P0 K+"
ING402,Garden Cress Seeds (Halim),Seed,Veg,454,25.0,33.0,24.0,"Pungent",Heating,"Light, Oily","V- P+ K-"
ING403,Niger Seeds (Karale),Seed,Veg,515,24.0,17.0,39.0,"Sweet",Heating,"Heavy, Oily","V- P+ K0"
ING404,Perilla Seeds (Bhangjeera),Seed,Veg,520,18.0,20.0,45.0,"Pungent",Heating,"Light, Oily","V- P+ K-"
ING405,Safflower Seeds,Seed,Veg,510,16.0,34.0,38.0,"Sweet",Heating,"Heavy, Oily","V- P+ K0"
ING406,Watermelon Seeds,Seed,Veg,557,28.0,15.0,47.0,"Sweet",Cooling,"Heavy, Oily","V- P- K+"
ING407,Muskmelon Seeds,Seed,Veg,500,32.0,12.0,40.0,"Sweet",Cooling,"Heavy, Oily","V- P- K+"
ING408,Lotus Seeds (Raw),Seed,Veg,89,4.1,17.0,0.5,"Sweet, Astringent",Cooling,"Heavy, Dry","V- P- K+"
ING409,Dried Lotus Seeds,Seed,Veg,332,15.0,64.0,2.0,"Sweet, Astringent",Cooling,"Heavy, Dry","V+ P- K+"
ING410,Kalonji Oil,Oil/Fat,Veg,884,0.0,0.0,100.0,"Pungent, Bitter",Heating,"Light, Dry","V- P+ K-"
